restaurant_id,cuisine_id
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,2
11,3
12,3
13,3
14,3
15,3
16,4
17,4
18,4
19,4
20,4
21,5
22,5
23,5
24,5
25,5
26,6
27,6
28,6
29,6
30,6
31,7
32,7
33,7
34,7
35,7
36,8
37,8
38,8
39,8
40,8
41,9
42,9
43,9
44,9
45,9
46,10
47,10
48,10
49,10
50,10
51,11
52,11
53,11
54,11
55,11
56,12
57,12
58,12
59,12
60,12
61,13
62,13
63,13
64,13
65,13
66,14
67,14
68,14
69,14
70,14
71,15
72,15
73,15
74,15
75,15
76,16
77,16
78,16
79,16
80,16
81,17
82,17
83,17
84,17
85,17
86,18
87,18
88,18
89,18
90,18
91,19
92,19
93,19
94,19
95,19
96,20
97,20
98,20
99,20
100,20
101,21
102,21
103,21
104,21
105,21
106,22
107,22
108,22
109,22
110,22
111,23
112,23
113,23
114,23
115,23
116,24
117,24
118,24
119,24
120,24
121,25
122,25
123,25
124,25
125,25
126,26
127,26
128,26
129,26
130,26
131,27
132,27
133,27
134,27
135,27
136,28
137,28
138,28
139,28
140,28
141,29
142,29
143,29
144,29
145,29
146,30
147,30
148,30
149,30
150,30
151,31
152,31
153,31
154,31
155,31
156,32
157,32
158,32
159,32
160,32
161,33
162,33
163,33
164,33
165,33
166,34
167,34
168,34
169,34
170,34
171,35
172,35
173,35
174,35
175,35
176,36
177,36
178,36
179,36
180,36
181,37
182,37
183,37
184,37
185,37
186,38
187,38
188,38
189,38
190,38
191,39
192,39
193,39
194,39
195,39
196,40
197,40
198,40
199,40
200,40
201,41
202,41
203,41
204,41
205,41
206,42
207,42
208,42
209,42
210,42
211,43
212,43
213,43
214,43
215,43
216,44
217,44
218,44
219,44
220,44
221,45
222,45
223,45
224,45
225,45
226,46
227,46
228,46
229,46
230,46
231,47
232,47
233,47
234,47
235,47
236,48
237,48
238,48
239,48
240,48
241,49
242,49
243,49
244,49
245,49
246,50
247,50
248,50
249,50
250,50
1001,12
1002,12
1003,12
1004,12
1005,12
1006,12
1007,12
1008,12
1009,12
1010,12
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,3
1022,3
1023,3
1024,3
1025,3
1026,3
1027,3
1028,3
1029,3
1030,3
1031,4
1032,4
1033,4
1034,4
1035,4
1036,4
1037,4
1038,4
1039,4
1040,4
